Date,BCOMTR Index,LF98TRUU Index,LUACTRUU Index,LUATTRUU Index,SPXT Index
11/8/1995,122.408,,801.77,775.81,758.1
11/9/1995,122.212,,799.94,774.42,760.31
11/10/1995,122.839,,798.11,773.11,759.66
11/13/1995,122.269,,800.66,775.11,759.26
11/14/1995,121.891,,800.42,774.96,755.48
11/15/1995,121.839,,798.51,773.95,761.67
11/16/1995,122.608,,801.54,776.19,766.06
11/17/1995,123.55,,802.57,776.96,769.57
11/20/1995,123.416,,802.33,776.88,765.56
11/21/1995,122.99,,800.98,775.73,770
11/22/1995,123.278,,800.98,775.57,767.66
11/24/1995,123.641,,802.97,777.12,769.69
11/27/1995,123.826,,804.8,778.58,771.43
11/28/1995,123.321,,804.56,778.43,778.1
11/29/1995,123.495,,806.23,779.81,779.98
11/30/1995,123.379,412.93,810.87,783.14,777.07
12/1/1995,124.08,,813.23,784.62,779.15
12/4/1995,124.717,,817.93,788.14,787.8
12/5/1995,125.653,,816.55,787.12,793.01
12/6/1995,125.683,,816.39,786.97,796.41
12/7/1995,125.942,,814.36,785.32,791.29
12/8/1995,126.766,,814.36,785.25,792.98
12/11/1995,126.727,,816.15,786.65,795.63
12/12/1995,126.641,,815.66,786.26,794.68
12/13/1995,127.636,,815.01,785.87,798.76
12/14/1995,128.21,,814.93,785.87,792.69
12/15/1995,128.001,,814.77,785.87,791.95
12/18/1995,128.767,,810.06,782.19,779.77
12/19/1995,129.232,,815.01,786.26,786.35
12/20/1995,129.312,,815.01,786.18,778.69
12/21/1995,128.948,,814.93,786.11,784.57
12/22/1995,128.987,,817.77,788.3,786.47
12/26/1995,129.308,,819.39,789.63,789.48
12/27/1995,130.07,,821.09,790.96,790.2
12/28/1995,129.339,,822.88,792.45,789.69
12/29/1995,129.908,419.42,824.23,794.35,792.04
1/2/1996,130.878,,824.16,794.02,798.22
1/3/1996,131.355,,825.39,795.05,799.12
1/4/1996,130.868,,822.59,792.99,794.47
1/5/1996,131.76,,821.02,791.87,793.2
1/8/1996,130.825,,821.52,792.27,795.68
1/9/1996,131.149,,821.27,792.11,784.16
1/10/1996,130.768,,816.16,788.3,770.11
1/11/1996,128.837,,817.31,789.25,775.56
1/12/1996,127.471,,818.39,789.89,774.43
1/15/1996,,,,,771.87
1/16/1996,125.744,,823,793.62,782.97
1/17/1996,126.703,,827.21,796.8,780.37
1/18/1996,127.526,,828.94,798.07,782.85
1/19/1996,127.319,,829.27,798.31,787.48
1/22/1996,127.041,,825.97,795.77,789.5
1/23/1996,127.783,,824.24,794.65,788.72
1/24/1996,128.161,,826.96,796.8,797.98
1/25/1996,126.766,,822.59,793.38,794.22
1/26/1996,127.436,,826.05,796.24,800.13
1/29/1996,128.411,,,794.97,803.64
1/30/1996,129.588,,827.54,797.59,811.3
1/31/1996,130.842,426.8,829.55,799.36,819
2/1/1996,131.17,,828.32,798.15,822.3
2/2/1996,131.448,,826.08,796.63,818.97
2/5/1996,129.365,,825.83,796.47,826.23
2/6/1996,130.257,,826.82,797.27,832.56
2/7/1996,130.376,,826.82,797.27,837.34
2/8/1996,130.702,,826.91,797.43,845.44
2/9/1996,131.04,,827.24,797.99,845.87
2/12/1996,130.918,,830.64,800.71,852.47
2/13/1996,132.4,,831.64,801.75,851.48
2/14/1996,132.782,,,800.31,845.24
2/15/1996,132.606,,826.66,797.35,839.9
2/16/1996,132.439,,823.59,795.03,835.7
2/20/1996,133.174,,813.71,787.2,826.26
2/21/1996,133.856,,814.29,787.6,836.01
2/22/1996,133.895,,816.87,789.6,849.93
2/23/1996,132.758,,813.88,787.12,850.23
2/26/1996,133.793,,813.13,786.56,839.12
2/27/1996,133.824,,811.14,784.88,835.06
2/28/1996,133.281,,,,832.1
2/29/1996,133.634,427.14,809.84,782.99,826.59
3/1/1996,132.85,,816.01,787.68,831.7
3/4/1996,132.106,,819.49,790.41,840.15
3/5/1996,132.055,,816.74,788.07,846.66
3/6/1996,132.658,,813.33,785.48,842.02
3/7/1996,132.964,,812.52,784.7,844.21
3/8/1996,133.328,,796.57,771.94,818.19
